EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8, TRIG
707774.600,736800.600,750000.100,750000.100,750000.100,636284.200,616644.700,683131.900,0.000
604525.900,628233.600,750000.100,750000.100,750000.100,542508.500,525773.300,584347.800,0.000
517095.400,536103.600,750000.100,750000.100,750000.100,462948.600,448485.400,501058.500,0.000
442780.400,459045.600,750000.100,750000.100,750000.100,396298.700,383788.900,429632.500,0.000
393885.200,409120.000,750000.100,750000.100,750000.100,352831.300,341846.200,381865.800,0.000
373487.400,388713.500,750000.100,750000.100,750000.100,334964.700,324780.600,361603.700,0.000
361869.700,375790.300,750000.100,750000.100,750000.100,323800.500,314157.400,350495.800,0.000
352083.700,364714.600,750000.100,750000.100,750000.100,314241.700,304901.600,341558.500,0.000
341681.600,353956.200,750000.100,750000.100,750000.100,304867.500,295744.800,331581.300,0.000
330827.200,343424.300,750000.100,750000.100,750000.100,295610.700,286801.300,320628.600,0.000
320934.100,333788.800,750000.100,721809.300,750000.100,287175.100,278811.700,310522.400,0.000
314554.100,326447.600,750000.100,688901.000,750000.100,280889.800,272867.800,304378.600,0.000
309179.100,320064.800,750000.100,659720.000,750000.100,275467.400,267571.900,299613.200,0.000
302752.100,313431.900,750000.100,632377.800,750000.100,269722.900,261912.700,293476.800,0.000
295460.200,306543.600,750000.100,606758.900,750000.100,263659.000,256035.600,286038.300,0.000
288729.400,300150.500,750000.100,583722.800,750000.100,258060.700,250750.000,279062.100,0.000
284858.700,295509.400,750000.100,564483.800,750000.100,254119.700,247041.000,275369.200,0.000
281682.900,291502.800,750000.100,547105.800,750000.100,250766.300,243737.300,272726.400,0.000
277363.900,287065.500,727678.800,530107.900,750000.100,246921.900,239912.500,268637.600,0.000
272116.900,282243.400,699723.600,513656.400,750000.100,242674.200,235777.000,263229.500,0.000
267204.700,277700.000,673942.300,498646.800,750000.100,238690.700,232032.800,258068.600,0.000
264771.200,274601.900,651521.300,486358.400,750000.100,236083.300,229602.600,255783.000,0.000
262884.300,271982.100,631014.400,475140.300,750000.100,233923.800,227452.800,254375.800,0.000
259889.500,268912.300,611170.100,463756.300,750000.100,231269.700,224779.800,251572.300,0.000
255855.600,265314.600,591883.900,452324.500,750000.100,228080.300,221669.100,247371.500,0.000
252022.100,261862.800,573891.000,441794.600,750000.100,225039.900,218829.200,243292.800,0.000
250525.800,259772.900,558493.300,433517.400,750000.100,223302.500,217233.800,241918.500,0.000
249483.000,258070.900,544343.300,425929.000,750000.100,221930.800,215845.100,241317.700,0.000
247273.600,255823.800,530276.600,417837.000,750000.100,219987.900,213865.200,239294.500,0.000
244083.500,253075.900,516339.700,409488.300,750000.100,217541.300,211470.200,235932.000,0.000
241029.300,250415.000,503224.800,401759.000,750000.100,215186.500,209286.400,232622.500,0.000
240141.400,248984.000,492217.400,395960.300,750000.100,214011.800,208228.600,231842.700,0.000
239673.800,247902.600,482108.500,390655.900,750000.100,213172.900,207358.100,231791.700,0.000
238047.300,246253.700,471782.100,384710.300,750000.100,211752.300,205884.300,230336.000,0.000
235419.400,244066.300,461300.800,378341.800,750000.100,209790.900,203958.100,227533.800,0.000
232926.100,241970.500,451412.600,372468.900,750000.100,207932.200,202250.300,224786.000,0.000
232463.400,240999.200,443311.900,368305.300,750000.100,207157.300,201575.900,224414.200,0.000
232365.000,240321.500,435868.500,364493.700,750000.100,206657.200,201034.000,224704.800,0.000
231153.700,239106.800,428067.800,359982.000,750000.100,205601.900,199914.100,223641.500,0.000
228941.700,237338.900,419947.000,354963.000,750000.100,204003.200,198343.000,221252.200,0.000
226814.700,235608.700,412229.500,350319.500,749480.500,202456.700,196936.000,218863.500,0.000
226680.400,234990.300,406157.800,347300.500,746530.900,201986.200,196554.600,218806.700,0.000
226873.800,234629.000,400590.700,344544.600,744447.100,201764.700,196282.800,219377.800,0.000
225943.400,233700.400,394540.000,341023.300,741716.100,200966.600,195414.700,218594.800,0.000
224032.400,232233.700,388079.800,336951.300,737933.800,199622.000,194089.500,216496.100,0.000
222194.100,230796.600,381927.800,333205.200,734176.300,198326.900,192928.700,214397.000,0.000
222276.000,230416.500,377277.400,330982.700,732032.000,198054.200,192743.900,214553.900,0.000
222681.500,230285.800,373049.800,328977.100,730679.100,198022.100,192661.600,215321.000,0.000
221989.000,229601.900,368282.800,326190.600,728673.300,197432.000,191997.300,214763.400,0.000
220313.900,228367.100,363038.000,322824.300,725599.300,196293.400,190873.000,212901.300,0.000
218681.100,227138.500,358012.500,319716.100,722494.400,195177.000,189880.800,211001.300,0.000
218933.200,226943.800,354412.800,318079.700,720950.900,195067.000,189849.400,211317.700,0.000
219504.000,226990.300,351180.600,316636.200,720165.600,195190.900,189914.800,212241.300,0.000
218974.000,226468.700,347350.900,314382.600,718689.600,194741.600,189391.100,211838.800,0.000
217477.800,225410.000,343011.600,311537.400,716162.800,193760.500,188420.800,210157.600,0.000
215992.400,224332.000,338824.600,308906.400,713616.100,192778.400,187559.300,208414.400,0.000
216355.400,224261.800,335989.900,307692.000,712506.100,192771.600,187627.100,208839.300,0.000
217051.800,224445.000,333505.300,306668.400,712134.100,193013.500,187805.700,209886.100,0.000
