EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8, TRIG
331864.700,363165.600,750000.100,750000.100,750000.100,304043.300,750000.100,329426.800,0.000
313403.800,343556.900,750000.100,750000.100,750000.100,288110.600,750000.100,312221.500,0.000
302238.900,331742.500,750000.100,705336.000,750000.100,278546.000,750000.100,301721.400,0.000
292653.900,321600.100,750000.100,660473.500,750000.100,270277.000,750000.100,292583.500,0.000
283879.300,312408.200,750000.100,624009.100,750000.100,262702.000,750000.100,284180.900,0.000
275926.600,304192.600,750000.100,593756.300,750000.100,255852.400,750000.100,276482.000,0.000
269190.000,297198.600,750000.100,568482.500,750000.100,250040.100,750000.100,269841.100,0.000
263618.900,291280.100,750000.100,547104.400,750000.100,245178.400,750000.100,264268.300,0.000
258583.400,285881.000,750000.100,528571.900,750000.100,240746.400,750000.100,259260.100,0.000
253574.500,280610.600,750000.100,512125.300,750000.100,236346.400,750000.100,254335.400,0.000
248773.500,275634.900,750000.100,497490.800,750000.100,232152.700,750000.100,249607.000,0.000
244664.200,271334.000,750000.100,484651.000,750000.100,228554.600,750000.100,245483.500,0.000
241311.400,267703.200,750000.100,473367.600,750000.100,225572.100,750000.100,242061.900,0.000
238205.100,264298.600,750000.100,463177.300,750000.100,222786.000,750000.100,238938.700,0.000
234948.100,260829.200,750000.100,453746.300,750000.100,219884.000,750000.100,235737.300,0.000
231730.700,257497.800,750000.100,445082.300,750000.100,217060.400,750000.100,232578.100,0.000
228991.900,254604.300,750000.100,437346.200,750000.100,214637.500,750000.100,229813.600,0.000
226815.000,252192.400,750000.100,430421.800,750000.100,212669.800,750000.100,227574.800,0.000
224760.600,249886.300,750000.100,423994.400,750000.100,210791.200,750000.100,225500.900,0.000
222439.600,247392.100,750000.100,417864.900,750000.100,208699.700,750000.100,223232.800,0.000
220055.300,244923.800,750000.100,412101.500,750000.100,206582.300,750000.100,220896.400,0.000
218085.900,242852.800,750000.100,406930.600,750000.100,204828.500,750000.100,218907.100,0.000
216611.800,241187.100,750000.100,402320.800,750000.100,203470.000,750000.100,217361.700,0.000
215212.600,239576.900,750000.100,397999.000,750000.100,202170.300,750000.100,215942.300,0.000
213512.900,237742.400,750000.100,393728.400,750000.100,200633.900,750000.100,214295.000,0.000
211717.400,235894.900,750000.100,389678.100,750000.100,199046.400,750000.100,212550.600,0.000
210263.200,234368.700,750000.100,386029.700,750000.100,197753.600,750000.100,211075.900,0.000
209256.100,233205.700,750000.100,382790.400,750000.100,196812.100,750000.100,210000.500,0.000
208283.600,232056.600,750000.100,379725.500,750000.100,195892.000,750000.100,209006.700,0.000
207004.100,230675.400,750000.100,376644.200,750000.100,194722.500,750000.100,207778.500,0.000
205582.700,229223.000,750000.100,373652.100,750000.100,193459.600,750000.100,206412.000,0.000
204481.300,228075.100,750000.100,370986.600,750000.100,192482.800,750000.100,205293.700,0.000
203808.200,227273.400,750000.100,368664.400,750000.100,191842.000,750000.100,204553.100,0.000
203150.800,226460.500,750000.100,366434.300,750000.100,191210.100,750000.100,203881.200,0.000
202149.100,225378.800,750000.100,364107.100,750000.100,190298.700,750000.100,202935.600,0.000
201001.000,224224.000,750000.100,361833.000,750000.100,189290.000,750000.100,201836.400,0.000
200145.600,223346.600,750000.100,359839.700,750000.100,188533.800,750000.100,200961.300,0.000
199698.500,222796.700,750000.100,358133.600,750000.100,188102.700,750000.100,200453.000,0.000
199247.200,222219.600,750000.100,356453.000,750000.100,187658.900,750000.100,199990.200,0.000
198469.100,221374.100,750000.100,354683.300,750000.100,186944.300,750000.100,199262.300,0.000
197528.500,220443.100,750000.100,352933.100,750000.100,186117.000,748538.100,198365.500,0.000
196841.000,219746.900,750000.100,351368.600,750000.100,185512.500,746059.100,197662.600,0.000
196555.400,219359.000,748688.100,350085.200,748495.500,185227.000,744225.600,197317.300,0.000
196271.800,218960.200,746750.200,348843.200,746560.800,184935.000,742659.300,197020.900,0.000
195650.800,218287.000,744898.800,347466.900,744709.900,184366.000,740764.500,196448.100,0.000
194878.800,217532.600,743148.900,346086.500,742957.300,183693.800,738583.100,195722.100,0.000
194356.000,217012.600,741500.800,344897.300,741306.900,183244.900,736652.800,195186.800,0.000
194194.900,216769.800,739938.400,343945.300,739746.800,183077.500,735290.700,194968.200,0.000
194019.400,216487.600,738448.400,342984.300,738260.400,182881.400,734143.200,194774.500,0.000
193514.500,215944.500,737028.600,341887.500,736840.900,182413.400,732677.500,194322.000,0.000
192826.400,215286.100,735675.800,340766.300,735485.400,181817.200,730866.900,193684.300,0.000
192382.000,214853.800,734398.300,339818.900,734206.000,181436.900,729266.300,193220.500,0.000
192324.100,214731.300,733201.400,339095.800,733011.000,181365.700,728254.800,193099.000,0.000
192267.900,214574.200,732064.000,338389.600,731876.800,181277.000,727471.800,193020.200,0.000
