EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8, TRIG
346775.100,358935.300,750000.100,750000.100,357402.700,402505.800,630629.800,401411.300,0.000
327320.100,338145.300,750000.100,750000.100,338227.400,381922.900,598469.000,380992.800,0.000
316692.400,326350.900,750000.100,750000.100,327880.300,370867.100,581072.500,370136.900,0.000
307109.500,315881.300,750000.100,750000.100,318604.300,360941.700,565751.800,360363.600,0.000
297606.900,305963.100,750000.100,750000.100,309372.800,351070.800,551050.600,350528.000,0.000
288907.300,297066.600,750000.100,750000.100,300734.300,341741.900,537317.100,341198.200,0.000
281990.100,289809.300,750000.100,750000.100,293692.600,333979.300,525628.400,333511.400,0.000
276624.600,283941.700,750000.100,750000.100,288213.200,327839.200,516079.000,327518.000,0.000
271440.000,278389.000,750000.100,750000.100,283057.800,322117.000,507329.500,321906.800,0.000
265729.900,272637.100,750000.100,750000.100,277420.100,315955.000,498313.800,315761.900,0.000
260243.900,267233.200,750000.100,750000.100,271864.600,309850.400,489481.500,309647.000,0.000
256006.900,262885.500,750000.100,750000.100,267419.700,304827.600,481968.500,304678.300,0.000
252895.300,259462.800,750000.100,750000.100,264129.300,301009.700,475970.200,300977.800,0.000
249698.000,256048.900,750000.100,750000.100,260903.500,297346.900,470345.000,297404.800,0.000
245817.800,252220.400,750000.100,750000.100,257045.800,293089.800,464187.500,293149.000,0.000
241960.200,248510.500,750000.100,750000.100,253094.000,288710.000,457932.200,288739.800,0.000
239126.200,245640.900,750000.100,750000.100,250045.700,285210.300,452704.000,285279.100,0.000
237231.800,243502.400,750000.100,750000.100,247975.900,282727.900,448729.600,282904.000,0.000
235161.000,241258.200,750000.100,750000.100,245875.700,280295.900,444956.800,280549.500,0.000
232339.800,238514.000,750000.100,750000.100,243073.100,277196.200,440517.400,277441.500,0.000
229463.400,235797.400,750000.100,750000.100,240107.500,273901.100,435865.600,274109.800,0.000
227475.000,233786.100,750000.100,750000.100,237915.400,271350.700,432062.600,271589.400,0.000
226308.700,232399.200,750000.100,750000.100,236585.100,269695.200,429340.400,270027.800,0.000
224917.800,230854.800,750000.100,750000.100,235172.000,268029.100,426721.700,268429.700,0.000
222757.800,228773.500,750000.100,750000.100,233041.800,265677.000,423397.700,266066.800,0.000
220498.000,226679.300,750000.100,750000.100,230702.000,263081.100,419789.600,263433.100,0.000
219067.900,225240.700,750000.100,750000.100,229083.800,261177.700,416945.500,261548.100,0.000
218392.800,224363.200,750000.100,750000.100,228264.000,260101.700,415091.800,260553.800,0.000
217469.900,223295.500,750000.100,750000.100,227329.200,258978.400,413286.300,259490.000,0.000
215768.500,221676.900,750000.100,750000.100,225663.800,257148.800,410737.100,257644.300,0.000
213941.800,220013.600,750000.100,750000.100,223770.800,255054.500,407867.300,255507.800,0.000
212885.000,218950.900,750000.100,750000.100,222543.300,253593.000,405687.100,254060.500,0.000
212547.000,218421.600,750000.100,750000.100,222068.000,252911.300,404430.700,253454.000,0.000
211946.300,217682.200,750000.100,750000.100,221463.800,252164.400,403193.200,252765.100,0.000
210575.900,216394.000,750000.100,750000.100,220137.100,250722.800,401211.700,251304.500,0.000
209043.000,215024.700,750000.100,750000.100,218549.100,248983.300,398866.800,249518.600,0.000
208242.300,214223.700,741851.800,750000.100,217595.000,247837.000,397163.100,248385.900,0.000
208133.400,213925.500,726879.800,750000.100,217366.800,247440.700,396339.400,248065.100,0.000
207777.600,213434.000,712801.800,750000.100,217016.100,246977.500,395520.700,247658.200,0.000
206647.500,212387.500,698838.800,750000.100,215938.200,245814.700,393951.400,246479.600,0.000
205334.600,211237.900,685213.400,750000.100,214583.600,244337.200,391994.500,244962.000,0.000
204735.600,210640.900,672731.300,748619.100,213847.300,243437.700,390654.300,244078.700,0.000
204818.000,210541.600,661429.400,746607.500,213826.100,243279.100,390182.000,243994.700,0.000
204637.900,210233.900,650455.600,744647.500,213663.900,243037.700,389692.700,243808.400,0.000
203660.700,209340.100,639227.100,742723.400,212751.400,242066.800,388416.500,242820.200,0.000
202510.900,208355.600,628207.300,740915.100,211571.500,240787.400,386762.500,241501.500,0.000
202060.500,207911.600,618184.400,739270.700,210993.000,240069.700,385700.900,240797.200,0.000
