EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8, TRIG
462586.700,487296.800,750000.100,750000.100,484664.800,450229.700,443557.400,466387.800,0.000
393018.200,413799.700,750000.100,750000.100,411615.300,382171.600,376590.700,396380.000,0.000
353671.300,372489.300,750000.100,750000.100,370827.200,343873.200,339049.100,357041.300,0.000
338262.500,356325.200,750000.100,750000.100,355061.200,328926.300,324435.200,341717.800,0.000
326375.000,343602.300,750000.100,750000.100,342405.300,317274.900,312881.800,329653.300,0.000
316105.000,332444.900,750000.100,750000.100,331078.000,307102.700,302692.800,319074.500,0.000
307499.300,323157.300,750000.100,714229.600,321743.300,298610.200,294235.800,310307.600,0.000
299928.100,315202.400,750000.100,676287.000,314003.900,291292.100,287073.400,302794.500,0.000
292713.500,307690.400,750000.100,643153.000,306699.500,284372.500,280318.100,295617.400,0.000
285821.700,300322.800,750000.100,613868.300,299301.600,277655.100,273643.600,288564.700,0.000
279726.000,293634.100,750000.100,588164.400,292415.200,271593.800,267534.800,282206.800,0.000
274593.000,288068.000,750000.100,565727.100,286768.500,266511.200,262459.400,276950.200,0.000
269983.500,283286.800,750000.100,545815.100,282137.700,262083.500,258147.400,272408.400,0.000
265376.800,278567.800,750000.100,527618.900,277591.200,257712.400,253910.700,267863.600,0.000
260796.900,273694.300,750000.100,510882.800,272679.200,253256.100,249484.500,263160.300,0.000
256720.200,269201.200,750000.100,495817.800,267994.200,249184.800,245356.400,258867.300,0.000
253334.300,265533.300,750000.100,482435.700,264250.900,245820.700,241996.900,255392.900,0.000
250302.200,262444.500,750000.100,470343.800,261302.100,242932.000,239219.800,252449.500,0.000
247126.600,259250.900,750000.100,458968.100,258262.400,239956.200,236357.500,249351.000,0.000
243851.800,255776.900,750000.100,448219.800,254749.400,236778.600,233192.500,245978.100,0.000
240944.700,252538.000,750000.100,438383.500,251336.500,233844.800,230204.900,242877.500,0.000
238600.800,249988.600,750000.100,429610.300,248695.900,231485.600,227845.600,240457.700,0.000
236504.900,247891.500,750000.100,421611.800,246723.000,229505.600,225962.200,238461.900,0.000
234225.000,245638.400,750000.100,413939.000,244623.800,227394.900,223960.600,236276.100,0.000
231789.700,243055.700,750000.100,406511.600,242006.600,225031.900,221609.400,233764.200,0.000
229647.200,240649.400,750000.100,399680.100,239431.400,222858.200,219374.300,231458.700,0.000
227982.200,238828.500,750000.100,393589.800,237540.000,221181.300,217689.300,229743.500,0.000
226517.900,237395.300,750000.100,388014.900,236228.500,219812.600,216405.000,228379.400,0.000
224836.600,235771.600,750000.100,382561.100,234755.600,218281.400,214968.600,226797.300,0.000
222974.400,233797.100,750000.100,377178.200,232753.200,216480.000,213172.500,224871.200,0.000
221355.400,231957.800,750000.100,372203.800,230746.200,214817.800,211448.300,223101.200,0.000
220165.400,230651.300,750000.100,367810.700,229366.800,213606.800,210222.000,221867.500,0.000
219130.100,229663.800,750000.100,363779.500,228518.700,212662.500,209358.800,220945.000,0.000
217863.400,228460.900,729475.100,359741.900,227473.600,211526.800,208313.300,219774.300,0.000
216401.200,226909.200,709187.200,355665.500,225893.500,210111.100,206896.200,218245.700,0.000
215156.900,225461.200,689952.800,351907.700,224285.600,208808.500,205532.600,216850.800,0.000
214311.000,224504.200,672178.100,348642.600,223266.800,207924.500,204635.700,215960.700,0.000
213589.800,223854.500,655618.400,345657.300,222743.800,207280.600,204065.500,215348.500,0.000
212630.700,222985.000,639610.100,342609.300,222023.700,206446.400,203311.900,214485.900,0.000
211456.500,221739.100,623897.000,339468.300,220758.500,205315.200,202177.200,213260.600,0.000
210475.300,220580.800,608934.500,336564.100,219446.000,204281.500,201076.700,212146.400,0.000
209874.700,219888.300,595148.400,334097.300,218693.300,203646.100,200422.200,211510.000,0.000
209387.900,219475.200,582317.500,331853.900,218410.200,203227.900,200076.200,211133.400,0.000
208655.300,218831.500,569809.600,329506.200,217918.600,202609.300,199537.500,210498.200,0.000
207698.300,217809.200,557386.200,327012.800,216873.400,201683.400,198607.300,209484.900,0.000
206912.000,216848.000,545502.800,324706.800,215759.800,200829.100,197687.000,208558.100,0.000
206491.300,216340.600,534612.300,322795.900,215195.300,200360.800,197198.400,208098.700,0.000
206176.900,216110.600,524506.900,321079.700,215085.300,200107.100,197009.700,207889.700,0.000
205606.200,215636.100,514562.900,319216.000,214755.700,199643.500,196620.300,207414.000,0.000
204817.500,214787.800,504573.900,317207.500,213886.300,198880.600,195851.200,206571.800,0.000
204188.700,213999.600,494990.500,315351.200,212944.700,198183.600,195087.300,205810.500,0.000
203904.700,213644.800,486256.200,313850.800,212526.100,197852.900,194731.700,205489.400,0.000
203723.100,213548.600,478192.700,312535.200,212561.300,197727.100,194671.300,205411.300,0.000
203280.700,213205.400,470176.900,311049.900,212366.100,197381.500,194399.500,205059.900,0.000
202613.500,212486.300,462017.600,309396.200,211626.400,196735.900,193746.500,204342.300,0.000
202090.500,211805.900,454157.300,307876.200,210800.000,196145.600,193085.500,203689.800,0.000
201919.800,211565.200,447065.300,306697.600,210501.300,195927.400,192838.800,203483.400,0.000
201837.500,211579.100,440551.100,305683.400,210633.500,195900.600,192877.500,203512.000,0.000
201489.900,211335.200,434011.300,304491.800,210531.600,195650.900,192699.900,203260.300,0.000
200906.300,210705.000,427243.600,303105.000,209880.800,195088.100,192127.400,202626.500,0.000
200470.900,210124.600,420714.800,301813.600,209150.300,194585.300,191553.700,202060.000,0.000
200382.100,209963.500,414883.100,300883.200,208933.600,194441.200,191383.100,201933.600,0.000
200375.900,210050.300,409566.300,300086.200,209142.000,194482.400,191487.500,202034.300,0.000
200108.900,209886.300,404169.500,299106.700,209119.000,194305.600,191379.100,201858.500,0.000
199603.800,209334.700,398497.500,297922.800,208545.000,193815.800,190879.700,201302.800,0.000
199243.700,208821.700,393016.300,296859.700,207888.700,193381.400,190377.400,200817.100,0.000
199222.800,208740.400,388187.600,296115.800,207743.600,193305.000,190275.700,200765.300,0.000
199284.600,208900.000,383821.100,295505.300,208016.300,193412.200,190444.700,200931.400,0.000
199074.600,208799.800,379327.300,294694.300,208052.700,193294.200,190392.600,200812.500,0.000
198634.200,208314.900,374525.900,293681.700,207543.500,192867.300,189951.600,200319.400,0.000
198332.300,207861.400,369873.400,292775.800,206945.100,192488.300,189503.400,199889.500,0.000
198359.300,207820.100,365828.900,292179.000,206850.100,192458.300,189445.400,199881.000,0.000
198471.300,208030.500,362219.900,291714.000,207174.000,192611.200,189656.400,200092.300,0.000
198310.000,207990.700,358457.700,291044.600,207263.400,192541.400,189650.800,200026.800,0.000
197895.700,207538.500,354338.500,290149.600,206792.200,192139.800,189240.500,199567.000,0.000
197625.900,207125.000,350347.700,289371.300,206241.200,191795.000,188826.800,199174.900,0.000
197686.000,207134.600,346935.300,288881.700,206190.700,191803.100,188806.600,199206.000,0.000
197825.500,207374.000,343925.800,288518.200,206548.400,191987.500,189047.100,199452.400,0.000
197699.800,207367.500,340749.100,287958.400,206680.700,191947.900,189077.500,199423.500,0.000
197330.400,206965.200,337196.900,287169.300,206257.200,191594.500,188709.300,199005.000,0.000
197096.400,206590.600,333737.400,286478.700,205739.200,191287.100,188326.700,198644.300,0.000
197178.200,206612.700,330828.200,286084.800,205709.900,191313.400,188324.900,198697.500,0.000
197343.400,206878.900,328309.600,285814.800,206099.100,191524.500,188593.900,198971.300,0.000
197248.000,206898.600,325609.400,285348.500,206263.800,191517.000,188654.900,198973.400,0.000
196905.000,206519.900,322517.700,284654.300,205866.200,191186.500,188313.300,198587.800,0.000
196672.800,206155.900,319486.200,284020.300,205362.300,190887.100,187941.600,198239.500,0.000
196775.300,206204.200,316998.000,283702.100,205352.900,190934.500,187959.200,198312.100,0.000
196956.800,206490.000,314881.100,283506.300,205754.200,191163.600,188242.300,198599.700,0.000
196868.400,206524.000,312556.600,283085.400,205923.200,191168.300,188311.300,198609.300,0.000
196544.600,206168.100,309836.600,282454.800,205548.600,190860.200,187990.500,198240.400,0.000
196349.400,205832.600,307173.300,281905.900,205072.700,190590.100,187648.100,197919.300,0.000
196475.100,205903.500,305036.300,281649.000,205086.800,190661.800,187690.800,198017.400,0.000
196679.100,206212.400,303256.700,281503.300,205508.000,190909.800,187994.800,198328.800,0.000
