sys_time,eeg_time,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
1782503664.8424678,34026.469346,191808.46875,195175.078125,446403.34375,534627.4375,195066.90625,203816.0,190975.375,234745.71875
1782503664.8426645,34026.4693617,191808.46875,195178.65625,446388.59375,534617.5625,195055.09375,203810.015625,190973.671875,234718.625
1782503664.8427043,34026.4693829,191800.59375,195171.328125,446356.125,534604.5,195034.71875,203791.5,190962.5,234669.453125
1782503664.8427296,34026.4694075,191801.3125,195170.4375,446345.9375,534608.3125,195032.484375,203783.1875,190961.59375,234661.765625
1782503664.8707445,34026.4988698,191821.875,195193.859375,446393.78125,534637.0625,195071.015625,203819.671875,190993.78125,234724.4375
1782503664.8711407,34026.4989223,191848.703125,195219.15625,446454.46875,534663.75,195112.234375,203867.234375,191026.78125,234790.421875
1782503664.8714347,34026.4989721,191859.15625,195228.640625,446443.21875,534662.0,195105.53125,203863.46875,191026.15625,234770.046875
1782503664.872018,34026.4990483,191855.140625,195227.125,446406.125,534651.3125,195084.609375,203841.296875,191012.109375,234716.390625
1782503664.872154,34026.4990844,191848.34375,195215.5,446391.53125,534643.625,195076.015625,203831.203125,191006.75,234703.875
1782503664.8722277,34026.4991143,191852.90625,195219.34375,446421.40625,534657.6875,195099.359375,203849.171875,191019.0,234749.03125
1782503664.8724644,34026.4991708,191853.703125,195219.875,446446.4375,534660.25,195110.078125,203862.765625,191024.1875,234778.625
1782503664.8727136,34026.4991913,191846.8125,195212.359375,446419.6875,534641.75,195086.65625,203845.953125,191011.765625,234738.5625
1782503664.8728955,34026.4992536,191843.59375,195207.09375,446386.96875,534627.75,195065.734375,203823.953125,190998.53125,234688.40625
1782503664.8729813,34026.4993848,191846.28125,195210.125,446383.21875,534635.6875,195067.078125,203818.859375,190996.734375,234688.046875
1782503664.8731997,34026.4994823,191840.5625,195206.203125,446406.46875,534643.1875,195082.28125,203826.8125,190996.296875,234726.140625
1782503664.873422,34026.4995409,191837.96875,195208.875,446433.8125,534643.5,195095.25,203843.625,191003.71875,234760.203125
1782503664.9010112,34026.5297047,191834.296875,195207.265625,446412.09375,534631.375,195082.015625,203836.46875,191000.046875,234730.96875
1782503664.9011981,34026.5298093,191824.734375,195197.890625,446365.25,534610.9375,195053.484375,203809.390625,190982.609375,234667.9375
1782503664.9013236,34026.5298871,191818.921875,195192.078125,446348.09375,534610.0625,195042.671875,203792.578125,190970.90625,234652.015625
1782503664.9019396,34026.5299434,191820.359375,195195.375,446383.40625,534622.8125,195064.84375,203812.0625,190980.375,234701.734375
1782503664.902243,34026.5300115,191820.09375,195195.734375,446416.40625,534625.25,195083.265625,203833.171875,190991.1875,234743.9375
1782503664.9024165,34026.5300161,191825.265625,195201.734375,446400.125,534618.6875,195073.34375,203827.09375,190988.6875,234722.5625
1782503664.9319003,34026.5606322,191833.234375,195209.953125,446376.4375,534619.6875,195062.703125,203819.21875,190987.890625,234685.8125
1782503664.933013,34026.5606835,191844.234375,195219.875,446374.375,534633.75,195069.671875,203821.90625,190997.09375,234686.796875
1782503664.9331434,34026.5607257,191839.3125,195218.359375,446397.53125,534644.25,195086.296875,203836.03125,191005.765625,234727.125
1782503664.9331827,34026.5607656,191823.578125,195202.078125,446412.71875,534626.125,195087.375,203836.75,190999.515625,234751.53125
1782503664.933265,34026.5608165,191815.4375,195191.796875,446385.90625,534604.25,195066.71875,203819.21875,190984.9375,234717.375
1782503664.9335458,34026.5608407,191822.5,195196.28125,446359.71875,534603.4375,195058.5,203812.421875,190987.796875,234680.71875
1782503664.9336143,34026.5608591,191824.203125,195196.984375,446349.96875,534608.0,195058.671875,203810.09375,190991.46875,234681.609375
1782503664.9336746,34026.5608827,191824.203125,195196.28125,446376.0625,534614.75,195077.359375,203825.484375,190997.453125,234729.359375
1782503664.9339182,34026.5609097,191821.96875,195196.8125,446406.1875,534612.25,195091.21875,203841.484375,191000.671875,234769.953125
1782503664.9341042,34026.5609235,191818.03125,195191.359375,446387.6875,534598.4375,195073.609375,203828.96875,190991.109375,234744.828125
1782503664.9341404,34026.5609582,191822.765625,195193.140625,446358.625,534594.375,195056.4375,203813.9375,190983.421875,234704.421875
1782503664.934227,34026.5610432,191824.640625,195192.34375,446345.84375,534601.8125,195054.75,203809.109375,190981.1875,234702.8125
1782503664.9343,34026.5611286,191814.546875,195184.828125,446363.90625,534599.9375,195065.5625,203819.75,190982.171875,234743.484375
1782503664.9476416,34026.5915338,191822.765625,195195.015625,446404.78125,534606.875,195091.9375,203850.328125,191000.5,234794.265625
1782503664.9943955,34026.6235772,191831.984375,195203.0625,446398.15625,534600.625,195091.3125,203854.171875,191007.109375,234784.171875
1782503665.0259092,34026.655416,191826.53125,195195.828125,446364.96875,534588.5625,195071.109375,203837.453125,190996.015625,234742.59375
1782503665.0263195,34026.6554321,191818.125,195187.15625,446349.4375,534580.8125,195060.640625,203824.140625,190985.921875,234737.578125
1782503665.0264432,34026.6559003,191819.015625,195186.796875,446371.59375,534585.6875,195074.953125,203833.609375,190988.328125,234783.546875
1782503665.056219,34026.6852105,191809.984375,195179.828125,446389.03125,534579.625,195075.84375,203839.15625,190982.703125,234812.15625
1782503665.0575397,34026.6852836,191809.890625,195179.203125,446374.90625,534567.625,195063.140625,203834.6875,190979.65625,234792.125
1782503665.0576837,34026.6854505,191816.328125,195186.078125,446351.3125,534565.625,195050.71875,203824.046875,190977.875,234755.734375
1782503665.057756,34026.6855071,191820.171875,195186.078125,446345.5,534571.3125,195049.28125,203819.21875,190978.765625,234754.65625
1782503665.1026986,34026.731603,191829.296875,195194.390625,446379.375,534589.9375,195075.65625,203841.921875,190995.9375,234806.34375
1782503665.1038024,34026.7317857,191833.765625,195203.15625,446412.28125,534596.0625,195097.65625,203865.53125,191006.578125,234850.59375
1782503665.1038342,34026.7318146,191826.34375,195195.203125,446383.84375,534573.1875,195074.234375,203848.640625,190993.078125,234818.3125
1782503665.1038597,34026.7318495,191825.8125,195198.0625,446350.3125,534566.5,195059.03125,203831.203125,190986.453125,234773.34375
1782503665.104022,34026.7318875,191823.03125,195199.40625,446334.84375,534567.125,195058.9375,203824.3125,190985.921875,234764.671875
1782503665.1041207,34026.7319228,191818.03125,195195.828125,446356.65625,534569.625,195075.21875,203836.203125,190994.328125,234802.5
1782503665.1042383,34026.731943,191810.875,195191.265625,446377.3125,534562.3125,195082.09375,203844.703125,190997.984375,234830.03125
1782503665.1043544,34026.7319622,191793.890625,195176.6875,446345.40625,534534.3125,195055.28125,203822.53125,190975.8125,234787.03125
1782503665.1046534,34026.7319777,191771.984375,195150.671875,446298.46875,534507.0625,195020.671875,203789.625,190950.78125,234726.046875
1782503665.1047387,34026.7320025,191786.296875,195164.4375,446297.40625,534525.5625,195024.96875,203793.203125,190961.875,234728.828125
1782503665.150076,34026.7785684,191816.421875,195195.640625,446350.40625,534570.9375,195070.484375,203834.859375,190998.796875,234797.84375
1782503665.1504157,34026.7790715,191811.328125,195191.53125,446377.5,534564.6875,195078.96875,203844.703125,190998.265625,234827.703125
1782503665.15068,34026.7793568,191802.828125,195180.890625,446353.0,534537.8125,195055.1875,203825.921875,190983.78125,234791.046875
1782503665.1508577,34026.7794538,191800.859375,195177.140625,446317.34375,534524.625,195033.640625,203807.0625,190972.953125,234738.125
1782503665.1510708,34026.7796083,191805.15625,195180.0,446310.09375,534532.625,195032.921875,203803.75,190973.84375,234732.578125
1782503665.1511703,34026.7796674,191826.171875,195205.75,446358.625,534563.75,195073.515625,203841.296875,191003.4375,234795.78125
1782503665.1512253,34026.7797521,191829.921875,195209.78125,446392.4375,534565.0625,195090.59375,203858.015625,191009.96875,234832.359375
1782503665.180967,34026.8100052,191831.078125,195207.984375,446372.3125,534550.3125,195074.859375,203841.484375,190997.8125,234799.640625
1782503665.1827393,34026.810134,191822.5,195196.453125,446332.34375,534536.0625,195048.9375,203813.3125,190978.59375,234744.921875
1782503665.182917,34026.8104392,191814.0,195181.515625,446313.65625,534528.3125,195035.15625,203795.171875,190967.40625,234730.703125
1782503665.183074,34026.8105164,191823.3125,195190.109375,446346.375,534551.0,195058.859375,203816.453125,190983.5,234779.78125
1782503665.1831796,34026.8105729,191814.71875,195183.3125,446374.90625,534543.25,195068.328125,203831.921875,190986.1875,234816.796875
1782503665.1832933,34026.8106118,191813.828125,195184.46875,446358.375,534528.25,195055.453125,203825.390625,190980.015625,234793.546875
1782503665.1833541,34026.810636,191831.4375,195200.75,446345.5,534540.5,195057.15625,203830.390625,190991.546875,234767.453125
1782503665.183698,34026.8106558,191836.625,195208.25,446341.125,534551.0,195062.515625,203833.703125,191000.9375,234769.6875
1782503665.1837568,34026.8106818,191841.1875,195216.484375,446371.875,534571.875,195089.796875,203855.421875,191017.21875,234817.609375
1782503665.184046,34026.8107041,191833.3125,195211.296875,446394.5625,534560.9375,195098.8125,203866.15625,191018.734375,234847.109375
1782503665.1840837,34026.8107307,191834.84375,195212.015625,446380.71875,534545.6875,195087.828125,203859.90625,191017.484375,234829.21875
1782503665.1841073,34026.8107599,191836.625,195216.65625,446355.15625,534541.875,195073.78125,203847.03125,191013.28125,234789.703125
1782503665.184129,34026.8107823,191830.375,195206.375,446336.71875,534539.375,195058.5,203831.734375,191000.21875,234772.90625
1782503665.1841516,34026.8107967,191834.75,195205.65625,446365.96875,534547.625,195072.890625,203842.015625,191001.125,234815.8125
1782503665.1841733,34026.8108131,191838.765625,195211.296875,446401.5625,534550.75,195090.953125,203860.171875,191009.53125,234856.9375
1782503665.1841938,34026.8108402,191825.0,195197.34375,446368.03125,534523.0625,195063.59375,203837.09375,190993.4375,234814.828125
1782503665.2110543,34026.8398988,191820.53125,195191.53125,446330.5625,534512.5,195040.53125,203816.53125,190983.59375,234762.265625
1782503665.2121592,34026.8399389,191823.75,195197.703125,446322.25,534521.0,195043.03125,203814.921875,190988.421875,234757.171875
1782503665.2124212,34026.8399749,191827.0625,195201.640625,446351.46875,534535.625,195066.90625,203832.8125,191001.390625,234803.484375
1782503665.2127907,34026.8400399,191827.859375,195204.5,446385.0,534538.125,195086.125,203852.296875,191012.5625,234841.65625
1782503665.21286,34026.8400701,191828.21875,195206.640625,446367.40625,534529.5,195076.375,203846.125,191011.3125,234815.71875
1782503665.212933,34026.8400965,191820.265625,195194.9375,446323.9375,534510.8125,195049.921875,203818.59375,190994.234375,234757.4375
1782503665.2132678,34026.8401166,191819.1875,195190.015625,446308.46875,534508.0,195045.265625,203808.9375,190988.609375,234745.984375
